time;global_x;global_y;global_yaw;relative_x;relative_y;relative_yaw
94558954;None;None;None;0.960124497812;-1.81452726304;2.06999993324
96522808;None;None;None;0.960124497812;-1.81452726304;2.06999993324
99680900;None;None;None;0.960124497812;-1.81452726304;2.06999993324
102471828;None;None;None;0.960095774222;-1.81447458519;2.06999993324
105952978;None;None;None;0.960051252659;-1.81439293453;2.06999993324
107692957;None;None;None;0.960023965249;-1.81434289058;2.06999993324
123503923;None;None;None;0.959982316045;-1.8142665077;2.06999993324
125893831;None;None;None;0.959778378569;-1.81389249501;2.06999993324
128343820;2.985;1.405;2.52434110428;0.959778378569;-1.81389249501;2.06999993324
130776882;2.985;1.405;2.52434110428;0.959748218802;-1.81383718328;2.06999993324
168359995;2.985;1.405;2.52434110428;0.957595385771;-1.80988897869;2.06999993324
195219993;2.985;1.405;2.52434110428;0.957595385771;-1.80988897869;2.06999993324
213299990;2.985;1.405;2.52434110428;0.95493620585;-1.80508376076;2.07999992371
214102983;2.985;1.405;2.52434110428;0.954858208722;-1.80494405947;2.07999992371
214671850;2.985;1.405;2.52434110428;0.954780211595;-1.80480435818;2.07999992371
258420944;2.985;1.405;2.52434110428;0.950940401375;-1.79813480101;2.09999990463
303818941;2.985;1.405;2.52434110428;0.944933421477;-1.78823986912;2.13000011444
348861933;2.985;1.405;2.52434110428;0.937958743258;-1.77754606172;2.17000007629
349955797;2.985;1.405;2.52434110428;0.937800827417;-1.77731484193;2.17000007629
350919962;2.985;1.405;2.52434110428;0.937548162088;-1.77694489028;2.17000007629
398507833;2.985;1.405;2.52434110428;0.930140421966;-1.76623800609;2.19000005722
406188965;2.985;1.405;2.52254892814;0.930140421966;-1.76623800609;2.19000005722
443284988;2.985;1.405;2.52254892814;0.924022714116;-1.75785779336;2.21000003815
443918943;2.985;1.405;2.52254892814;0.923891471669;-1.75768122772;2.21000003815
444380999;2.985;1.405;2.52254892814;0.923760229222;-1.75750466208;2.21000003815
488262892;2.985;1.405;2.52254892814;0.918538110374;-1.75058390586;2.22000002861
517174959;2.985;1.405;2.52410597408;0.918538110374;-1.75058390586;2.22000002861
533325910;2.985;1.405;2.52410597408;0.913580178219;-1.74421029495;2.24000000954
534216881;2.985;1.405;2.52410597408;0.913132277128;-1.74364401885;2.24000000954
534662962;2.985;1.405;2.52410597408;0.91295547406;-1.74342048881;2.24000000954
535162926;2.985;1.405;2.52410597408;0.912849392226;-1.74328637079;2.24000000954
535565853;2.985;1.405;2.52410597408;0.912731523514;-1.74313735076;2.24000000954
578192949;2.985;1.405;2.52410597408;0.907740962067;-1.73691053471;2.25
622942924;2.985;1.405;2.52410597408;0.902335749219;-1.73035975924;2.26999998093
644670010;2.985;1.405;2.52589657531;0.902335749219;-1.73035975924;2.26999998093
672953844;2.985;1.405;2.52589657531;0.894874187917;-1.72177340437;2.29999995232
723267794;2.985;1.405;2.52589657531;0.886657139932;-1.71272234991;2.31999993324
769359827;2.985;1.405;2.52589657531;0.879064625565;-1.70472853846;2.33999991417
769990921;2.985;1.405;2.52589657531;0.878716843916;-1.70436930602;2.33999991417
772076845;2.985;1.405;2.52589657531;0.878542953091;-1.7041896898;2.33999991417
772712946;2.985;1.405;2.52589657531;0.878068578933;-1.70369969676;2.33999991417
813374996;2.985;1.405;2.52589657531;0.872072145032;-1.69757152982;2.34999990463
858264923;2.985;1.405;2.52589657531;0.866014206985;-1.69153810869;2.36999988556
904789925;2.985;1.405;2.52589657531;0.861254509465;-1.68692130213;2.38000011444
916553020;2.985;1.405;2.52433185983;0.861254509465;-1.68692130213;2.38000011444
920596838;2.985;1.405;2.52433185983;0.861103248234;-1.68677707648;2.38000011444
921370983;2.985;1.405;2.52433185983;0.857021784766;-1.68292831324;2.3900001049
921907902;2.985;1.405;2.52433185983;0.856861052232;-1.68277809654;2.3900001049
922496796;2.985;1.405;2.52433185983;0.856700319697;-1.68262787984;2.3900001049
963603973;2.985;1.405;2.52433185983;0.851684640146;-1.67800689407;2.41000008583
1008271933;2.985;1.405;2.52433185983;0.841649631931;-1.66921056148;2.43000006676
1049211025;2.985;1.405;2.53001110651;0.841649631931;-1.66921056148;2.43000006676
1058070898;2.985;1.405;2.53001110651;0.832045093848;-1.66117248128;2.46000003815
1103204965;2.985;1.405;2.53001110651;0.823888709896;-1.65469298406;2.48000001907
1103892803;2.985;1.405;2.53001110651;0.823715126642;-1.65455782173;2.48000001907
1105738878;2.985;1.405;2.53001110651;0.823350601838;-1.65427398084;2.48000001907
1148083925;2.985;1.405;2.53001110651;0.816342700331;-1.64892518806;2.5
1193377972;2.985;1.405;2.53001110651;0.809476458134;-1.64379856077;2.50999999046
1224166870;2.985;1.405;2.52612274655;0.809476458134;-1.64379856077;2.50999999046
1238537788;2.985;1.405;2.52612274655;0.802548429271;-1.63876438593;2.51999998093
1239233971;2.985;1.405;2.52612274655;0.802369579818;-1.63863627318;2.51999998093
1239767790;2.985;1.405;2.52612274655;0.802190730364;-1.63850816043;2.51999998093
1283108950;2.985;1.405;2.52612274655;0.794386862577;-1.63296899932;2.52999997139
1328926802;2.985;1.405;2.52612274655;0.785788867209;-1.62712725481;2.54999995232
1375969887;2.985;1.405;2.52612274655;0.777550066892;-1.62174762101;2.57999992371
1415395975;2.985;1.405;2.52410275721;0.777550066892;-1.62174762101;2.57999992371
1418850899;2.985;1.405;2.52410275721;0.768280870915;-1.61596533663;2.58999991417
1472001791;2.985;1.405;2.52410275721;0.75870752833;-1.61029507241;2.61999988556
